fundingTime,fundingIntervalHours,fundingRate
1735689600015,8,0.00010000
1735718400000,8,0.00010000
1735747200001,8,0.00010000
1735776000000,8,0.00010000
1735804800006,8,0.00010000
1735833600000,8,0.00010000
1735862400000,8,0.00010000
1735891200000,8,0.00010000
1735920000000,8,0.00005242
1735948800000,8,0.00007699
1735977600000,8,0.00010000
1736006400000,8,0.00000798
1736035200000,8,0.00010000
1736064000000,8,0.00010000
1736092800000,8,0.00008320
1736121600000,8,0.00010000
1736150400001,8,0.00010000
1736179200000,8,0.00010000
1736208000000,8,0.00010000
1736236800000,8,0.00008903
1736265600008,8,0.00008279
1736294400001,8,0.00010000
1736323200000,8,0.00010000
1736352000000,8,0.00010000
1736380800000,8,0.00010000
1736409600000,8,0.00009834
1736438400000,8,-0.00000544
1736467200000,8,0.00003966
1736496000000,8,-0.00001060
1736524800000,8,0.00008078
1736553600000,8,0.00005680
1736582400000,8,0.00004055
1736611200000,8,0.00002608
1736640000000,8,0.00005009
1736668800000,8,0.00003210
1736697600000,8,0.00006647
1736726400000,8,0.00005266
1736755200000,8,0.00006989
1736784000000,8,0.00000881
1736812800000,8,0.00010000
1736841600000,8,0.00010000
1736870400000,8,0.00009496
1736899200000,8,0.00004989
1736928000000,8,0.00008795
1736956800000,8,0.00005844
1736985600000,8,0.00000728
1737014400000,8,0.00007568
1737043200000,8,0.00004598
1737072000004,8,0.00004597
1737100800000,8,0.00009386
1737129600008,8,0.00003432
1737158400000,8,0.00006707
1737187200007,8,0.00010000
1737216000000,8,0.00010000
1737244800000,8,0.00010000
1737273600000,8,0.00010000
1737302400000,8,0.00010000
1737331200000,8,0.00010000
1737360000009,8,0.00010000
1737388800000,8,0.00010000
1737417600000,8,0.00010000
1737446400000,8,0.00010000
1737475200000,8,0.00010000
1737504000000,8,0.00010000
1737532800000,8,0.00010000
1737561600000,8,0.00010000
1737590400001,8,0.00008654
1737619200000,8,0.00010000
1737648000000,8,0.00008616
1737676800000,8,0.00000334
1737705600000,8,0.00007537
1737734400000,8,0.00009540
1737763200000,8,0.00005702
1737792000000,8,0.00008495
1737820800001,8,0.00007782
1737849600000,8,0.00008363
1737878400000,8,0.00010000
1737907200000,8,0.00008443
1737936000000,8,0.00009084
1737964800000,8,0.00003712
1737993600000,8,9.8E-7
1738022400000,8,0.00010000
1738051200000,8,0.00003714
1738080000000,8,0.00009848
1738108800000,8,0.00010000
1738137600000,8,0.00010000
1738166400000,8,0.00009949
1738195200000,8,0.00007590
1738224000000,8,0.00010000
1738252800000,8,0.00009499
1738281600000,8,0.00001225
1738310400000,8,0.00010000
1738339200000,8,0.00010000
1738368000000,8,0.00008098
1738396800000,8,0.00005369
1738425600000,8,0.00005968
1738454400001,8,0.00005824
1738483200000,8,0.00003380
1738512000000,8,-0.00000861
1738540800000,8,0.00010000
1738569600000,8,0.00010000
1738598400000,8,0.00004845
1738627200000,8,0.00002612
1738656000001,8,0.00006800
1738684800000,8,0.00004138
1738713600001,8,-0.00000461
1738742400001,8,0.00004774
1738771200000,8,0.00001610
1738800000001,8,0.00002186
1738828800001,8,-0.00000238
1738857600000,8,0.00005903
1738886400000,8,0.00007983
1738915200000,8,0.00006989
1738944000000,8,0.00005167
1738972800000,8,-0.00004100
1739001600000,8,0.00001137
1739030400000,8,0.00000324
1739059200000,8,0.00003873
1739088000000,8,0.00009600
1739116800000,8,0.00002839
1739145600000,8,0.00001802
1739174400000,8,0.00009176
1739203200000,8,0.00007457
1739232000000,8,0.00004218
1739260800000,8,0.00007090
1739289600000,8,-0.00002446
1739318400000,8,0.00001298
1739347200000,8,0.00004899
1739376000001,8,0.00004960
1739404800001,8,0.00010000
1739433600000,8,0.00004117
1739462400001,8,0.00000805
1739491200000,8,0.00004100
1739520000001,8,0.00005510
1739548800000,8,0.00007093
1739577600000,8,5.5E-7
1739606400000,8,0.00003297
1739635200000,8,0.00003735
1739664000000,8,0.00003390
1739692800000,8,0.00000182
1739721600000,8,0.00003799
1739750400000,8,0.00006239
1739779200000,8,0.00006397
1739808000000,8,0.00002009
1739836800000,8,0.00009488
1739865600000,8,0.00010000
1739894400000,8,0.00010000
1739923200000,8,0.00007007
1739952000000,8,0.00007779
1739980800000,8,0.00008960
1740009600000,8,0.00002420
1740038400000,8,0.00003269
1740067200000,8,0.00007346
1740096000001,8,0.00000123
1740124800000,8,0.00002286
1740153600000,8,-9.7E-7
1740182400000,8,0.00010000
1740211200000,8,0.00006466
1740240000000,8,0.00002318
1740268800000,8,0.00004112
1740297600000,8,0.00003140
1740326400000,8,0.00001478
1740355200000,8,-0.00002970
1740384000000,8,0.00006881
1740412800000,8,0.00002050
1740441600000,8,0.00010000
1740470400000,8,0.00005245
1740499200000,8,0.00001385
1740528000000,8,0.00003521
1740556800000,8,0.00006005
1740585600000,8,0.00010000
1740614400001,8,0.00009305
1740643200000,8,-0.00000617
1740672000000,8,0.00009433
1740700800001,8,0.00009444
1740729600000,8,0.00009521
1740758400000,8,-0.00000373
1740787200000,8,-1.4E-7
1740816000000,8,-0.00006108
1740844800001,8,-0.00000858
1740873600000,8,-0.00001094
1740902400000,8,-0.00002783
1740931200000,8,-0.00002869
1740960000001,8,-0.00005518
1740988800000,8,0.00000791
1741017600000,8,0.00005272
1741046400001,8,-0.00001526
1741075200005,8,-0.00000270
1741104000000,8,0.00001306
1741132800000,8,0.00004113
1741161600000,8,0.00002722
1741190400000,8,0.00005028
1741219200000,8,0.00003538
1741248000001,8,0.00006413
1741276800000,8,0.00006818
1741305600000,8,-0.00000612
1741334400001,8,-0.00001539
1741363200000,8,0.00002028
1741392000000,8,0.00005328
1741420800001,8,0.00000373
1741449600001,8,0.00001208
1741478400001,8,-0.00002779
1741507200000,8,0.00003218
1741536000000,8,0.00010000
1741564800000,8,0.00003952
